Job Title,Salary Estimate,Job Description,Rating,Company Name,Location
Data Scientist Trainee,$73K - $113K (Glassdoor est.),"Overview:
Axle Informatics is a scientific research and information technology company that offers innovative computer services, informatics, and bioresearch solutions to research centers and healthcare organizations around the globe. With expertise in software engineering, bioinformatics, data science, molecular research, and program management, we focus on developing and applying technological tools and scientific techniques to empower the world of research. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of Health (NIH). Axle is offering this postion hybrid.

We are looking for Data Science Trainees to support portions of engineering based Data Science projects which Axle Informatics teams are working on currently at the National Center for Advancing Translational Science (NCATS) and the NIH.

Responsibilities:
Qualifications:",3.9,"Axle Informatics
3.9","Rockville, MD"
Data Scientist I,$73K - $113K (Glassdoor est.),"Data Scientist I
Who we are:
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 29,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.",3.9,"UST
3.9","Santa Clara, CA"
Data Scientist I,$73K - $113K (Glassdoor est.),"Data Scientist
Responsibilities: Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse ""big data"" sources to generate actionable insights and solutions for client services and product enhancement. Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.
Education/Experience: Typically requires a Bachelor's degree with a minimum of 5 years of professional experience. Experience with the semi process is preferred, but not required.",4.0,"Axcelis Technologies Inc.
4.0","Beverly, MA"
Data Scientist,$73K - $113K (Glassdoor est.),"Innovate to solve the world's most important challenges
The Honeywell AMI Smart Energy Team is looking for a data scientist with a passion for Analytics, Business and Cloud Intelligence (ABCI). As a Honeywell data scientist, you will use prescriptive, predictive, and preventative modeling and statistical analysis techniques to help improve Honeywell's world-class AMI solutions.

Responsibilities:
Maintain Honeywell’s Enhanced Services Platform to enable the technical support team in discovery monitoring and issue resolution
Engage with other teams to find opportunities, understand requirements, and translate those requirements into technical solutions",4.0,"Honeywell
4.0","Raleigh, NC"
Data Scientist Co-op,$73K - $113K (Glassdoor est.),"We are ASICS. And our five letters have meaning. ‘Anima Sana in Corpore Sano’ or a Sound Mind in a Sound Body.
We’ve always believed in the positive benefits of movement. And this year, we’ve recommitted to this founding purpose, supporting more people to experience the transformative power of movement, on the body and the mind.
So, this is your chance to join a truly purpose-driven brand.

Job Description
Data Scientist Co-op
At ASICS, our mission is to “Create Quality Lifestyle through Intelligent Sport Technology”. ASICS Digital is currently seeking an Intern/Co-op to join our Advanced Analytics team in Boston to help provide our customers with the best fitness experience we can offer. Over the course of the internship, you will learn how to work with a team of Analysts and Data Scientists, responsible for delivering marketing-based analytics solutions and fulfilling stakeholder requests. You will help guide decision making and enable marketers by leveraging tools/technologies such as Python, SQL, PowerPoint, Tealium, and Google Analytics.",4.2,"Asics Digital
4.2","Boston, MA"
Data Scientist Modeling,$73K - $113K (Glassdoor est.),"Position Description:
Job Responsibilities:
Explore, gather, manipulate, clean the vehicle data through various data sources and platforms.
Develop, assess, maintain, and improve the prediction machine learning model.
Design, develop, maintain, monitor, and enhance the API in Python
Streamline the data, featuring, modeling, and deploying process.
Execute ad hoc requests in a timely manner.
Support the on-call to maintain the business production.",3.6,"Optimal Inc.
3.6","Dearborn, MI"
Amazon Robotics - Data Scientist (DS) Co-op - Fall 2023,$73K - $113K (Glassdoor est.),"Master's degree (or Bachelor's degree 3+ years of experience) in a quantitative discipline such as Statistics, Mathematics, Data Science, Business Analytics, Economics, Finance, Engineering, or Computer Science
1+ years of experience working as a data scientist or a similar role involving data extraction, analysis, statistical modeling, and communication
1+ years of experience using data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, SAS, Matlab, etc.)

Are you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers who work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling, and fun.

Amazon.com empowers a smarter, faster, more consistent customer experience through automation. Amazon Robotics automates fulfillment center operations using various methods of robotic technology including autonomous mobile robots, sophisticated control software, language perception, power management, computer vision, depth sensing, machine learning, object recognition, and semantic understanding of commands. Amazon Robotics has a dedicated focus on research and development to continuously explore new opportunities to extend its product lines into new areas.

This role is a 6-month Co-Op to join AR full-time (40 hours/week) from July 10, 2023 to December 15, 2023. Amazon Robotics co-op opportunities will be based out of the Greater Boston Area.

Key job responsibilities
We are seeking data scientist co-ops to help us analyze data, quantify uncertainty, and build machine learning models to make quick prediction.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon.com Services LLC
3.8","Boston, MA"
DATA SCIENTIST,$73K - $113K (Glassdoor est.),"STAND 8 is a global leader providing end-to-end IT Solutions. We solve business problems through PEOPLE, PROCESS, and TECHNOLOGY and are looking for individuals to help us scale software projects designed to change the world!
We are hiring for a Data Scientist for a cutting edge media entertainment company. You'll be joining a passionate team of data scientists and Python developers to build and implement solutions and utilize the best practices to keep us ahead of the industry.
Candidate needs a strong foundation in AI/ML
Looking for someone that eats, drinks, sleeps and breathes sports!
Has a good understanding of NFL, MLB, NLH, and NASCAR.


The US base salary range for this contract position is $50-$60/hour. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training.",4.4,"STAND 8
4.4","Los Angeles, CA"
Data Scientist,$73K - $113K (Glassdoor est.),"Job Responsibilities:
The Data Scientist will be an integral part of the psychometric team within Cambium Assessment. The psychometric team has a proven research and statistical background and provides technical oversight on our state assessment systems. The data scientist will support the psychometric team in developing and maintaining custom statistical software written in R. In addition, they will drive the development of prototype software to provide proof of concept of new solutions developed by the team. Much of the work we perform is high-stakes, so the right candidate will have the skills needed to perform unit and regression testing. We are comfortable with the position being fully remote within the US, or based out of our Washington, DC office.
Job Requirements:
B.S. in Statistics, Computer Science or a related quantitative degree and 2+ years professional software development experience or a M.S. in Computer Science or a related quantitative degree",4.3,"Cambium Learning Group
4.3",Remote
Data Scientist (L4) - Game DSE,$73K - $113K (Glassdoor est.),"Remote, United States
Data Science and Engineering
Now is an amazing time to join Netflix as we seek to entertain the world. We have over 200 million paid members in over 190 countries, and we won’t stop there. Games are our next big frontier and an incredible opportunity for us to deliver new experiences to delight and entertain our quickly growing membership. You will be jumping in at the very beginning of this adventure and be in a position to help us redefine what a Netflix subscription means for our members around the world.

Data Science and Engineering (‘DSE’) at Netflix is aimed at using data, analytics, and sciences to improve various aspects of our business. We are looking for a Data Scientist to join our Games DSE team, supporting experimentation and advanced data science needs. This role will be partnering closely with our Game studio stakeholders to drive data informed decisions by building predictive models, conducting statistical analysis and deriving business insights. As a member of this team, you will also play a role in presenting insights that shape our decision making and ensure decisions are sound from a statistical perspective.",4.3,"Netflix
4.3",Remote
